trade_id,settlement_status,instruction_status,ssi_id,custodian,depository,fail_reason_code,actual_settlement_date,intended_settlement_date
TRD000001,ON_HOLD,PENDING_CONFIRMATION,,JPM Custody,NSDL,COUNTERPARTY_MISMATCH,2026-03-06,2026-03-06
TRD000002,FAILED,MATCHED,,HSBC Custody,JASDEC,MARKET_HOLIDAY,2026-06-01,2026-05-31
TRD000003,ON_HOLD,MISSING,,State Street,Euroclear,UNKNOWN,2026-11-27,2026-11-27
TRD000004,ON_HOLD,PENDING_CONFIRMATION,,JPM Custody,JASDEC,UNKNOWN,2026-12-22,2026-12-22
TRD000005,FAILED,MATCHED,,HSBC Custody,NSDL,MARKET_HOLIDAY,2026-01-13,2026-01-11
TRD000006,ON_HOLD,PENDING_ENRICHMENT,,BNY Mellon,JASDEC,REFERENCE_DATA_GAP,2026-06-04,2026-06-04
TRD000007,FAILED,MATCHED,,State Street,Clearstream,PRICE_BREAK,2026-03-26,2026-03-26
TRD000008,ON_HOLD,PENDING_ENRICHMENT,,State Street,DTC,REFERENCE_DATA_GAP,2026-09-21,2026-09-21
TRD000009,FAILED,MISMATCH,SSI_BAD_1aec9d6780,Citi Custody,Euroclear,SSI_MISMATCH,2026-05-15,2026-05-15
TRD000010,FAILED,MISMATCH,,State Street,NSDL,WRONG_ACCOUNT,2026-02-17,2026-02-17
TRD000011,ON_HOLD,PENDING_ENRICHMENT,,JPM Custody,DTC,REFERENCE_DATA_GAP,2026-04-28,2026-04-28
TRD000012,FAILED,MISMATCH,SSI_BAD_af092d3507,BNY Mellon,Euroclear,SSI_MISMATCH,2026-04-13,2026-04-13
TRD000013,FAILED,MISMATCH,SSI_BAD_de63df4325,BNY Mellon,Clearstream,SSI_MISMATCH,2026-05-22,2026-05-22
TRD000014,FAILED,MATCHED,,Citi Custody,JASDEC,PRICE_BREAK,2026-06-03,2026-06-03
TRD000015,FAILED,MATCHED,,HSBC Custody,JASDEC,BOOKING_MISMATCH,2026-04-14,2026-04-14
TRD000016,FAILED,MATCHED,,JPM Custody,Euroclear,PRICE_BREAK,2026-03-25,2026-03-25
TRD000017,FAILED,MATCHED,,BNY Mellon,Clearstream,MARKET_HOLIDAY,2026-02-09,2026-02-07
TRD000018,ON_HOLD,MISMATCH,,JPM Custody,CDSL,SSI_MISMATCH,2026-08-17,2026-08-17
TRD000019,FAILED,MATCHED,,Citi Custody,CDSL,QUANTITY_BREAK,2026-02-10,2026-02-10
TRD000020,FAILED,MISSING,,BNY Mellon,Euroclear,MISSING_INSTRUCTION,2026-02-17,2026-02-17
TRD000021,FAILED,MISSING,,HSBC Custody,CDSL,WRONG_ACCOUNT,2026-05-26,2026-05-26
TRD000022,FAILED,MISMATCH,,JPM Custody,Euroclear,WRONG_ACCOUNT,2026-04-27,2026-04-27
TRD000023,FAILED,MISSING,,JPM Custody,Euroclear,MISSING_INSTRUCTION,2026-12-16,2026-12-16
TRD000024,FAILED,MATCHED,,State Street,CDSL,MARKET_HOLIDAY,2026-04-06,2026-04-05
TRD000025,FAILED,MATCHED,SSI_b1972a2c8e,BNY Mellon,Clearstream,PRICE_BREAK,2026-06-26,2026-06-26
TRD000026,ON_HOLD,PENDING_ENRICHMENT,,JPM Custody,DTC,REFERENCE_DATA_GAP,2026-04-02,2026-04-02
TRD000027,ON_HOLD,MISSING,,JPM Custody,Euroclear,UNKNOWN,2026-02-24,2026-02-24
TRD000028,FAILED,MATCHED,,BNY Mellon,JASDEC,BOOKING_MISMATCH,2026-11-26,2026-11-26
TRD000029,ON_HOLD,PENDING_CONFIRMATION,,HSBC Custody,Clearstream,COUNTERPARTY_MISMATCH,2026-02-02,2026-02-02
TRD000030,FAILED,MISMATCH,,HSBC Custody,Euroclear,WRONG_ACCOUNT,2026-02-18,2026-02-18
TRD000031,ON_HOLD,PENDING_CONFIRMATION,,JPM Custody,JASDEC,COUNTERPARTY_MISMATCH,2026-10-05,2026-10-05
