counterparty_id,counterparty_name,lei,bic,region,default_market,risk_rating,active_flag
CP001,Counterparty 001,LEI000000000000001,BIC00000001,APAC,US,LOW,True
CP002,Counterparty 002,LEI000000000000002,BIC00000002,APAC,EU,LOW,True
CP003,Counterparty 003,LEI000000000000003,BIC00000003,AMER,GB,HIGH,True
CP004,Counterparty 004,LEI000000000000004,BIC00000004,AMER,SG,HIGH,True
CP005,Counterparty 005,LEI000000000000005,BIC00000005,APAC,US,HIGH,True
CP006,Counterparty 006,LEI000000000000006,BIC00000006,EMEA,US,LOW,True
CP007,Counterparty 007,LEI000000000000007,BIC00000007,AMER,GB,LOW,True
CP008,Counterparty 008,LEI000000000000008,BIC00000008,APAC,IN,LOW,True
CP009,Counterparty 009,LEI000000000000009,BIC00000009,APAC,GB,HIGH,True
CP010,Counterparty 010,LEI000000000000010,BIC00000010,APAC,SG,HIGH,True
CP011,Counterparty 011,LEI000000000000011,BIC00000011,EMEA,GB,MEDIUM,True
CP012,Counterparty 012,LEI000000000000012,BIC00000012,APAC,EU,LOW,True
CP013,Counterparty 013,LEI000000000000013,BIC00000013,AMER,SG,MEDIUM,True
CP014,Counterparty 014,LEI000000000000014,BIC00000014,EMEA,EU,LOW,True
CP015,Counterparty 015,LEI000000000000015,BIC00000015,AMER,EU,LOW,True
CP016,Counterparty 016,LEI000000000000016,BIC00000016,AMER,JP,LOW,True
CP017,Counterparty 017,LEI000000000000017,BIC00000017,EMEA,EU,HIGH,True
CP018,Counterparty 018,LEI000000000000018,BIC00000018,EMEA,US,HIGH,True
CP019,Counterparty 019,LEI000000000000019,BIC00000019,EMEA,IN,LOW,True
CP020,Counterparty 020,LEI000000000000020,BIC00000020,EMEA,US,HIGH,True
CP021,Counterparty 021,LEI000000000000021,BIC00000021,EMEA,SG,HIGH,True
CP022,Counterparty 022,LEI000000000000022,BIC00000022,EMEA,IN,LOW,True
CP023,Counterparty 023,LEI000000000000023,BIC00000023,APAC,US,LOW,True
CP024,Counterparty 024,LEI000000000000024,BIC00000024,APAC,GB,MEDIUM,True
CP025,Counterparty 025,LEI000000000000025,BIC00000025,AMER,GB,LOW,True
CP026,Counterparty 026,LEI000000000000026,BIC00000026,EMEA,EU,MEDIUM,True
CP027,Counterparty 027,LEI000000000000027,BIC00000027,APAC,EU,LOW,True
CP028,Counterparty 028,LEI000000000000028,BIC00000028,EMEA,EU,LOW,True
CP029,Counterparty 029,LEI000000000000029,BIC00000029,APAC,EU,HIGH,True
CP030,Counterparty 030,LEI000000000000030,BIC00000030,APAC,SG,LOW,True
