ssi_id,counterparty_id,market,currency,account_no,bic,custodian,effective_from,effective_to,active_flag
SSI_c81b2f1d43,CP001,IN,EUR,ACCT497887,BIC00000001,JPM Custody,2026-01-01,2027-12-31,True
SSI_1a989d6168,CP001,IN,JPY,ACCT771088,BIC00000001,HSBC Custody,2026-01-01,2027-12-31,True
SSI_4741361eb7,CP001,GB,EUR,ACCT983794,BIC00000001,State Street,2026-01-01,2027-12-31,True
SSI_84691ce759,CP001,GB,GBP,ACCT340174,BIC00000001,State Street,2026-01-01,2027-12-31,True
SSI_96b4db9942,CP001,SG,GBP,ACCT380746,BIC00000001,State Street,2026-01-01,2027-12-31,True
SSI_356b13141b,CP001,SG,JPY,ACCT321231,BIC00000001,HSBC Custody,2026-01-01,2027-12-31,True
SSI_970cfa6c70,CP002,SG,SGD,ACCT514850,BIC00000002,Citi Custody,2026-01-01,2027-12-31,True
SSI_1ab521293d,CP002,SG,JPY,ACCT249811,BIC00000002,JPM Custody,2026-01-01,2027-12-31,True
SSI_2256173faa,CP002,EU,EUR,ACCT881177,BIC00000002,HSBC Custody,2026-01-01,2027-12-31,True
SSI_55dacc9bac,CP002,EU,SGD,ACCT665158,BIC00000002,JPM Custody,2026-01-01,2027-12-31,True
SSI_8e318e7cba,CP002,GB,SGD,ACCT549245,BIC00000002,HSBC Custody,2026-01-01,2027-12-31,True
SSI_f15bb68c54,CP002,GB,INR,ACCT518801,BIC00000002,JPM Custody,2026-01-01,2027-12-31,True
SSI_3efd62caf5,CP003,GB,USD,ACCT214975,BIC00000003,BNY Mellon,2026-01-01,2027-12-31,True
SSI_9686a42b24,CP003,GB,SGD,ACCT757924,BIC00000003,BNY Mellon,2026-01-01,2027-12-31,True
SSI_1b50796301,CP003,SG,SGD,ACCT725380,BIC00000003,State Street,2026-01-01,2027-12-31,True
SSI_5b1e71a800,CP003,SG,JPY,ACCT503457,BIC00000003,Citi Custody,2026-01-01,2027-12-31,True
SSI_2d6bbc44b3,CP003,JP,INR,ACCT654816,BIC00000003,JPM Custody,2026-01-01,2027-12-31,True
SSI_bd9082b17e,CP003,JP,JPY,ACCT680099,BIC00000003,State Street,2026-01-01,2027-12-31,True
SSI_e3085b5c95,CP004,SG,SGD,ACCT216970,BIC00000004,JPM Custody,2026-01-01,2027-12-31,True
SSI_46a007ac49,CP004,SG,GBP,ACCT555884,BIC00000004,BNY Mellon,2026-01-01,2027-12-31,True
