case_id,exception_signature,root_cause,final_action,human_override_flag,agent_confidence,resolved_by,resolution_time_hours,outcome
EXC_a62e9e82fe,COUNTERPARTY_DISCREPANCY|SG|EUR|CP019,COUNTERPARTY_REFERENCE_MISMATCH,Confirm legal entity and refresh counterparty reference data,False,0.46,ops_analyst,4.75,RESOLVED
EXC_a97238753d,HOLIDAY_SETTLEMENT_ERROR|JP|JPY|CP007,MARKET_HOLIDAY_MISREAD,Roll intended settlement date to next open market day,False,0.8,ops_analyst,10.55,RESOLVED
EXC_dcb71c4efb,AMBIGUOUS_NOISY|SG|SGD|CP022,AMBIGUOUS_EVIDENCE,Escalate to human review due to conflicting or weak evidence,True,0.57,human_reviewer,20.05,PENDING_REMEDIATION
EXC_0e41189682,AMBIGUOUS_NOISY|GB|SGD|CP005,AMBIGUOUS_EVIDENCE,Escalate to human review due to conflicting or weak evidence,True,0.52,human_reviewer,19.93,RESOLVED
EXC_9e1482af96,HOLIDAY_SETTLEMENT_ERROR|JP|USD|CP021,MARKET_HOLIDAY_MISREAD,Roll intended settlement date to next open market day,False,0.79,human_reviewer,11.35,RESOLVED
EXC_89798203e3,MISSING_REFERENCE_DATA|JP|EUR|CP015,REFERENCE_DATA_GAP,Backfill missing reference data before settlement processing,True,0.56,human_reviewer,4.11,RESOLVED
EXC_6111510958,PRICE_MISMATCH|GB|GBP|CP007,PRICE_BREAK,Reconfirm price with trading desk and amend booking if required,False,0.82,agent,2.7,RESOLVED
EXC_f9cfe545b6,MISSING_REFERENCE_DATA|JP|GBP|CP016,REFERENCE_DATA_GAP,Backfill missing reference data before settlement processing,False,0.37,ops_analyst,5.13,RESOLVED
EXC_de00cc51d3,SSI_MISMATCH|IN|INR|CP013,SSI_MISMATCH,Validate SSI against active master and resend instruction,False,0.81,team_lead,3.29,RESOLVED
EXC_693c266a49,WRONG_ACCOUNT|US|USD|CP003,WRONG_ACCOUNT,Correct settlement account and obtain approval before rebook,True,0.74,human_reviewer,8.61,RESOLVED
EXC_919b796014,MISSING_REFERENCE_DATA|SG|JPY|CP005,REFERENCE_DATA_GAP,Backfill missing reference data before settlement processing,False,0.46,agent,3.13,RESOLVED
EXC_5a8fa5bc0e,SSI_MISMATCH|SG|INR|CP003,SSI_MISMATCH,Validate SSI against active master and resend instruction,False,0.82,agent,4.23,RESOLVED
EXC_b31d0c3563,SSI_MISMATCH|JP|USD|CP012,SSI_MISMATCH,Validate SSI against active master and resend instruction,False,0.82,human_reviewer,2.94,RESOLVED
EXC_620500bbde,PRICE_MISMATCH|IN|SGD|CP017,PRICE_BREAK,Reconfirm price with trading desk and amend booking if required,False,0.87,ops_analyst,13.48,RESOLVED
EXC_591f31e4f2,BOOKING_MISMATCH|JP|USD|CP003,BOOKING_MISMATCH,Reconcile booking details with front office and repair trade,True,0.78,human_reviewer,10.39,RESOLVED
EXC_b11a4c7bcb,PRICE_MISMATCH|GB|INR|CP007,PRICE_BREAK,Reconfirm price with trading desk and amend booking if required,False,0.74,agent,7.93,RESOLVED
EXC_38c849a842,HOLIDAY_SETTLEMENT_ERROR|EU|GBP|CP002,MARKET_HOLIDAY_MISREAD,Roll intended settlement date to next open market day,False,0.74,agent,10.69,RESOLVED
EXC_ff1005de73,AMBIGUOUS_NOISY|SG|JPY|CP008,AMBIGUOUS_EVIDENCE,Escalate to human review due to conflicting or weak evidence,True,0.43,human_reviewer,25.68,RESOLVED
EXC_12e478625f,QUANTITY_MISMATCH|IN|SGD|CP005,QUANTITY_BREAK,Investigate allocation quantity and amend booking if approved,False,0.84,human_reviewer,4.4,RESOLVED
EXC_b1cc9a61ec,MISSING_INSTRUCTION|US|GBP|CP005,MISSING_SSI,Request missing instructions from counterparty/custodian,False,0.87,team_lead,12.29,RESOLVED
EXC_454b41e226,AMBIGUOUS_NOISY|IN|EUR|CP008,AMBIGUOUS_EVIDENCE,Escalate to human review due to conflicting or weak evidence,True,0.56,human_reviewer,14.18,PENDING_REMEDIATION
EXC_d15864aecb,WRONG_ACCOUNT|JP|USD|CP027,WRONG_ACCOUNT,Correct settlement account and obtain approval before rebook,True,0.73,human_reviewer,14.76,RESOLVED
EXC_d9a5739384,MISSING_INSTRUCTION|SG|EUR|CP016,MISSING_SSI,Request missing instructions from counterparty/custodian,True,0.92,human_reviewer,8.5,RESOLVED
EXC_4306643d77,HOLIDAY_SETTLEMENT_ERROR|US|SGD|CP018,MARKET_HOLIDAY_MISREAD,Roll intended settlement date to next open market day,False,0.83,ops_analyst,10.54,RESOLVED
EXC_1864bd8e5e,PRICE_MISMATCH|SG|USD|CP009,PRICE_BREAK,Reconfirm price with trading desk and amend booking if required,True,0.91,human_reviewer,7.87,RESOLVED
EXC_748890c581,MISSING_REFERENCE_DATA|GB|USD|CP010,REFERENCE_DATA_GAP,Backfill missing reference data before settlement processing,False,0.4,ops_analyst,11.38,RESOLVED
EXC_c3a7c35ae4,AMBIGUOUS_NOISY|IN|GBP|CP030,AMBIGUOUS_EVIDENCE,Escalate to human review due to conflicting or weak evidence,True,0.45,human_reviewer,30.03,PENDING_REMEDIATION
EXC_38cdc8299b,BOOKING_MISMATCH|GB|INR|CP001,BOOKING_MISMATCH,Reconcile booking details with front office and repair trade,True,0.85,human_reviewer,17.94,RESOLVED
EXC_cd5f84151e,COUNTERPARTY_DISCREPANCY|EU|EUR|CP021,COUNTERPARTY_REFERENCE_MISMATCH,Confirm legal entity and refresh counterparty reference data,False,0.57,ops_analyst,15.51,RESOLVED
EXC_dc98d6ed5d,WRONG_ACCOUNT|EU|SGD|CP022,WRONG_ACCOUNT,Correct settlement account and obtain approval before rebook,True,0.81,human_reviewer,9.58,RESOLVED
EXC_bb0c1caf57,COUNTERPARTY_DISCREPANCY|IN|EUR|CP015,COUNTERPARTY_REFERENCE_MISMATCH,Confirm legal entity and refresh counterparty reference data,False,0.6,agent,1.83,RESOLVED
EXC_ed2acc8f88,WRONG_ACCOUNT|GB|GBP|CP017,WRONG_ACCOUNT,Correct settlement account and obtain approval before rebook,True,0.76,human_reviewer,10.37,RESOLVED
EXC_1a17c829ca,MISSING_REFERENCE_DATA|IN|GBP|CP029,REFERENCE_DATA_GAP,Backfill missing reference data before settlement processing,False,0.39,team_lead,7.23,RESOLVED
EXC_2a403a8744,AMBIGUOUS_NOISY|EU|INR|CP007,AMBIGUOUS_EVIDENCE,Escalate to human review due to conflicting or weak evidence,True,0.4,human_reviewer,10.78,RESOLVED
EXC_286e3006fd,MISSING_INSTRUCTION|EU|JPY|CP016,MISSING_SSI,Request missing instructions from counterparty/custodian,False,0.81,human_reviewer,7.01,RESOLVED
EXC_a6f6083f5d,WRONG_ACCOUNT|IN|GBP|CP012,WRONG_ACCOUNT,Correct settlement account and obtain approval before rebook,True,0.84,human_reviewer,1.68,RESOLVED
EXC_b1c8c31311,SSI_MISMATCH|SG|GBP|CP005,SSI_MISMATCH,Validate SSI against active master and resend instruction,False,0.75,ops_analyst,7.25,RESOLVED
EXC_c1301edd09,QUANTITY_MISMATCH|SG|SGD|CP026,QUANTITY_BREAK,Investigate allocation quantity and amend booking if approved,False,0.83,team_lead,7.28,RESOLVED
EXC_2ad57fe5c5,SSI_MISMATCH|GB|JPY|CP023,SSI_MISMATCH,Validate SSI against active master and resend instruction,False,0.77,ops_analyst,4.7,RESOLVED
EXC_08c077e090,QUANTITY_MISMATCH|EU|GBP|CP008,QUANTITY_BREAK,Investigate allocation quantity and amend booking if approved,False,0.88,human_reviewer,12.21,RESOLVED
EXC_e9740ee6f5,SSI_MISMATCH|IN|GBP|CP007,SSI_MISMATCH,Validate SSI against active master and resend instruction,False,0.93,human_reviewer,8.14,RESOLVED
EXC_73842be7b2,MISSING_REFERENCE_DATA|EU|GBP|CP025,REFERENCE_DATA_GAP,Backfill missing reference data before settlement processing,False,0.62,team_lead,9.15,RESOLVED
EXC_08c55df82c,COUNTERPARTY_DISCREPANCY|GB|INR|CP029,COUNTERPARTY_REFERENCE_MISMATCH,Confirm legal entity and refresh counterparty reference data,False,0.39,human_reviewer,5.85,RESOLVED
EXC_f2f4b72cb0,PRICE_MISMATCH|EU|JPY|CP001,PRICE_BREAK,Reconfirm price with trading desk and amend booking if required,False,0.87,ops_analyst,15.11,RESOLVED
EXC_b1d57e839d,WRONG_ACCOUNT|GB|EUR|CP020,WRONG_ACCOUNT,Correct settlement account and obtain approval before rebook,True,0.73,human_reviewer,9.21,RESOLVED
EXC_0fa0e38407,COUNTERPARTY_DISCREPANCY|GB|INR|CP017,COUNTERPARTY_REFERENCE_MISMATCH,Confirm legal entity and refresh counterparty reference data,False,0.46,human_reviewer,13.25,RESOLVED
EXC_d2cab1a69d,COUNTERPARTY_DISCREPANCY|US|USD|CP019,COUNTERPARTY_REFERENCE_MISMATCH,Confirm legal entity and refresh counterparty reference data,True,0.62,human_reviewer,6.9,RESOLVED
EXC_4078674efe,BOOKING_MISMATCH|SG|EUR|CP005,BOOKING_MISMATCH,Reconcile booking details with front office and repair trade,True,0.78,human_reviewer,8.02,RESOLVED
EXC_dff76f51ee,HOLIDAY_SETTLEMENT_ERROR|US|JPY|CP020,MARKET_HOLIDAY_MISREAD,Roll intended settlement date to next open market day,False,0.93,human_reviewer,15.79,RESOLVED
EXC_2f1f83ecad,MISSING_REFERENCE_DATA|EU|GBP|CP014,REFERENCE_DATA_GAP,Backfill missing reference data before settlement processing,False,0.41,human_reviewer,13.86,RESOLVED
EXC_7d091910ab,MISSING_REFERENCE_DATA|JP|USD|CP026,REFERENCE_DATA_GAP,Backfill missing reference data before settlement processing,False,0.56,human_reviewer,11.86,RESOLVED
EXC_59ef2542d7,MISSING_REFERENCE_DATA|GB|GBP|CP016,REFERENCE_DATA_GAP,Backfill missing reference data before settlement processing,False,0.57,ops_analyst,11.84,RESOLVED
EXC_e4b383b656,BOOKING_MISMATCH|GB|GBP|CP030,BOOKING_MISMATCH,Reconcile booking details with front office and repair trade,True,0.85,human_reviewer,34.3,RESOLVED
EXC_d25c0eff01,SSI_MISMATCH|EU|JPY|CP011,SSI_MISMATCH,Validate SSI against active master and resend instruction,False,0.82,human_reviewer,13.64,RESOLVED
EXC_74424542b4,AMBIGUOUS_NOISY|SG|EUR|CP003,AMBIGUOUS_EVIDENCE,Escalate to human review due to conflicting or weak evidence,True,0.42,human_reviewer,24.59,RESOLVED
EXC_0c68e93de8,SSI_MISMATCH|EU|GBP|CP027,SSI_MISMATCH,Validate SSI against active master and resend instruction,True,0.92,human_reviewer,10.67,RESOLVED
EXC_35e6f08245,AMBIGUOUS_NOISY|IN|USD|CP011,AMBIGUOUS_EVIDENCE,Escalate to human review due to conflicting or weak evidence,True,0.45,human_reviewer,28.19,PENDING_REMEDIATION
EXC_47f19ca1e0,HOLIDAY_SETTLEMENT_ERROR|SG|GBP|CP017,MARKET_HOLIDAY_MISREAD,Roll intended settlement date to next open market day,True,0.87,human_reviewer,12.97,RESOLVED
EXC_1967f6d60a,PRICE_MISMATCH|US|USD|CP023,PRICE_BREAK,Reconfirm price with trading desk and amend booking if required,True,0.74,human_reviewer,9.31,RESOLVED
EXC_0bb9c716ae,MISSING_INSTRUCTION|IN|GBP|CP020,MISSING_SSI,Request missing instructions from counterparty/custodian,False,0.91,human_reviewer,6.42,RESOLVED
EXC_c6701d8fc3,MISSING_INSTRUCTION|SG|JPY|CP024,MISSING_SSI,Request missing instructions from counterparty/custodian,False,0.76,ops_analyst,6.97,RESOLVED
EXC_d1cd97fef8,MISSING_INSTRUCTION|SG|SGD|CP010,MISSING_SSI,Request missing instructions from counterparty/custodian,False,0.91,team_lead,7.14,RESOLVED
EXC_c366e5fef4,HOLIDAY_SETTLEMENT_ERROR|SG|GBP|CP005,MARKET_HOLIDAY_MISREAD,Roll intended settlement date to next open market day,False,0.87,team_lead,9.45,RESOLVED
EXC_e3babeddf5,HOLIDAY_SETTLEMENT_ERROR|EU|JPY|CP025,MARKET_HOLIDAY_MISREAD,Roll intended settlement date to next open market day,True,0.82,human_reviewer,15.43,RESOLVED
EXC_1c866ef757,BOOKING_MISMATCH|SG|EUR|CP004,BOOKING_MISMATCH,Reconcile booking details with front office and repair trade,True,0.94,human_reviewer,28.21,RESOLVED
EXC_d17be07135,COUNTERPARTY_DISCREPANCY|GB|INR|CP017,COUNTERPARTY_REFERENCE_MISMATCH,Confirm legal entity and refresh counterparty reference data,False,0.57,ops_analyst,9.05,RESOLVED
EXC_9e9791a000,HOLIDAY_SETTLEMENT_ERROR|GB|JPY|CP011,MARKET_HOLIDAY_MISREAD,Roll intended settlement date to next open market day,False,0.78,ops_analyst,2.75,RESOLVED
